1. predict =  -2.461549458481201 	 test = 1
2. predict = -2.3984000060878636 	 test = 1
3. predict = -12.012385170954428 	 test = 1
4. predict = 0.04141969965417225 	 test = 1
5. predict =  -6.055428937949891 	 test = 1
6. predict =  -6.743832994025951 	 test = 1
7. predict =  4.701292545886984  	 test = 1
8. predict =  -2.58120906659844  	 test = 1
9. predict =  3.120726238951118  	 test = 1
10. predict =  1.9152086481975061 	 test = 1
11. predict =  0.5660574571298351 	 test = 1
12. predict = -1.4170052543738176 	 test = 1
13. predict =  -6.892209823866409 	 test = 1
14. predict =  2.809705830709297  	 test = 1
15. predict =  -4.787638184692975 	 test = 1
16. predict =  7.555492014455666  	 test = 1
17. predict = -32.283231353742394 	 test = 1
18. predict =  3.3277903195984138 	 test = 1
19. predict =  1.8731966385746315 	 test = 1
20. predict =  6.1765784653122076 	 test = 1
21. predict =  12.621175711036047 	 test = 1
22. predict = -1.8051590613903432 	 test = 1
23. predict = -5.2913810857233425 	 test = 1
24. predict = -0.39122174691778433	 test = 1
25. predict =  -2.128424812076883 	 test = 1
26. predict = -0.4995877607882875 	 test = 1
27. predict =  -9.349246371613601 	 test = 1
28. predict =  -9.328687431160498 	 test = 1
29. predict =   36.8274630350499  	 test = 1
30. predict =  5.059118460514956  	 test = 1
31. predict =  8.394341868906618  	 test = 1
32. predict =  -4.601310517302384 	 test = 1
33. predict =  -2.220454713217685 	 test = 1
34. predict =  13.128370316984347 	 test = 1
35. predict =  5.820022480092531  	 test = 1
36. predict =  1.1749170645860332 	 test = 1
37. predict =  6.479026324508871  	 test = 1
38. predict =  2.0247896457690953 	 test = 1
39. predict =  -3.264307638581739 	 test = 1
40. predict =  -7.570715534613793 	 test = 1
41. predict = -1.6685634930585742 	 test = 1
42. predict = -17.028167101557543 	 test = 1
43. predict =  6.484369735365014  	 test = 1
44. predict =  -5.384469636607788 	 test = 1
45. predict =  5.735989502969154  	 test = 1
46. predict =  2.3478443444738857 	 test = 1
47. predict = -13.735081675422299 	 test = 1
48. predict = -19.924873185494267 	 test = 1
49. predict =  -3.782369958312019 	 test = 1
50. predict =  1.0274415409722426 	 test = 1
51. predict =  -29.16255651207228 	 test = 2
52. predict =  4.153873782148898  	 test = 2
53. predict =  2.8464500602580465 	 test = 2
54. predict =  12.074227217618901 	 test = 2
55. predict =  13.884135825970446 	 test = 2
56. predict =  1.0758483980794242 	 test = 2
57. predict =  7.506564507431772  	 test = 2
58. predict =  -4.03924525950859  	 test = 2
59. predict =  3.4330907390806154 	 test = 2
60. predict =  -2.244079796257239 	 test = 2
61. predict =  0.7663818190766616 	 test = 2
62. predict = -1.0110090121035267 	 test = 2
63. predict =  33.67212925797047  	 test = 2
64. predict =   4.2829186533188   	 test = 2
65. predict =  1.507134901405463  	 test = 2
